rank,name,href,nowPrice,marketcap,volume,sosok,종목토론실,종목분석,공매도현황,시세,종합정보,투자자별 매매동향,뉴스·공시,차트,전자공시,ETF분석
74,GS,https://finance.naver.com/item/main.nhn?code=078930,"46,150","42,880","328,919",코스피,https://finance.naver.com/item/board.nhn?code=078930,https://finance.naver.com/item/coinfo.nhn?code=078930,https://finance.naver.com/item/short_trade.nhn?code=078930,https://finance.naver.com/item/sise.nhn?code=078930,https://finance.naver.com/item/main.nhn?code=078930,https://finance.naver.com/item/frgn.nhn?code=078930,https://finance.naver.com/item/news.nhn?code=078930,https://finance.naver.com/item/fchart.nhn?code=078930,https://finance.naver.com/item/dart.nhn?code=078930,NaN
75,삼성중공업,https://finance.naver.com/item/main.nhn?code=010140,"6,800","42,840","7,466,858",코스피,https://finance.naver.com/item/board.nhn?code=010140,https://finance.naver.com/item/coinfo.nhn?code=010140,https://finance.naver.com/item/short_trade.nhn?code=010140,https://finance.naver.com/item/sise.nhn?code=010140,https://finance.naver.com/item/main.nhn?code=010140,https://finance.naver.com/item/frgn.nhn?code=010140,https://finance.naver.com/item/news.nhn?code=010140,https://finance.naver.com/item/fchart.nhn?code=010140,https://finance.naver.com/item/dart.nhn?code=010140,NaN
76,롯데지주,https://finance.naver.com/item/main.nhn?code=004990,"39,800","41,754","575,286",코스피,https://finance.naver.com/item/board.nhn?code=004990,https://finance.naver.com/item/coinfo.nhn?code=004990,https://finance.naver.com/item/short_trade.nhn?code=004990,https://finance.naver.com/item/sise.nhn?code=004990,https://finance.naver.com/item/main.nhn?code=004990,https://finance.naver.com/item/frgn.nhn?code=004990,https://finance.naver.com/item/news.nhn?code=004990,https://finance.naver.com/item/fchart.nhn?code=004990,https://finance.naver.com/item/dart.nhn?code=004990,NaN
77,현대차2우B,https://finance.naver.com/item/main.nhn?code=005387,"114,000","41,593","59,719",코스피,https://finance.naver.com/item/board.nhn?code=005387,https://finance.naver.com/item/coinfo.nhn?code=005387,https://finance.naver.com/item/short_trade.nhn?code=005387,https://finance.naver.com/item/sise.nhn?code=005387,https://finance.naver.com/item/main.nhn?code=005387,https://finance.naver.com/item/frgn.nhn?code=005387,https://finance.naver.com/item/news.nhn?code=005387,https://finance.naver.com/item/fchart.nhn?code=005387,https://finance.naver.com/item/dart.nhn?code=005387,NaN
78,신풍제약,https://finance.naver.com/item/main.nhn?code=019170,"78,100","41,381","1,920,291",코스피,https://finance.naver.com/item/board.nhn?code=019170,https://finance.naver.com/item/coinfo.nhn?code=019170,https://finance.naver.com/item/short_trade.nhn?code=019170,https://finance.naver.com/item/sise.nhn?code=019170,https://finance.naver.com/item/main.nhn?code=019170,https://finance.naver.com/item/frgn.nhn?code=019170,https://finance.naver.com/item/news.nhn?code=019170,https://finance.naver.com/item/fchart.nhn?code=019170,https://finance.naver.com/item/dart.nhn?code=019170,NaN
79,쌍용C&E,https://finance.naver.com/item/main.nhn?code=003410,"8,190","41,266","2,028,051",코스피,https://finance.naver.com/item/board.nhn?code=003410,https://finance.naver.com/item/coinfo.nhn?code=003410,https://finance.naver.com/item/short_trade.nhn?code=003410,https://finance.naver.com/item/sise.nhn?code=003410,https://finance.naver.com/item/main.nhn?code=003410,https://finance.naver.com/item/frgn.nhn?code=003410,https://finance.naver.com/item/news.nhn?code=003410,https://finance.naver.com/item/fchart.nhn?code=003410,https://finance.naver.com/item/dart.nhn?code=003410,NaN
80,KODEX 200,https://finance.naver.com/item/main.nhn?code=069500,"43,050","41,005","3,762,397",코스피,https://finance.naver.com/item/board.nhn?code=069500,NaN,https://finance.naver.com/item/short_trade.nhn?code=069500,https://finance.naver.com/item/sise.nhn?code=069500,https://finance.naver.com/item/main.nhn?code=069500,https://finance.naver.com/item/frgn.nhn?code=069500,https://finance.naver.com/item/news.nhn?code=069500,https://finance.naver.com/item/fchart.nhn?code=069500,NaN,https://finance.naver.com/item/coinfo.nhn?code=069500
81,CJ대한통운,https://finance.naver.com/item/main.nhn?code=000120,"177,500","40,492","61,366",코스피,https://finance.naver.com/item/board.nhn?code=000120,https://finance.naver.com/item/coinfo.nhn?code=000120,https://finance.naver.com/item/short_trade.nhn?code=000120,https://finance.naver.com/item/sise.nhn?code=000120,https://finance.naver.com/item/main.nhn?code=000120,https://finance.naver.com/item/frgn.nhn?code=000120,https://finance.naver.com/item/news.nhn?code=000120,https://finance.naver.com/item/fchart.nhn?code=000120,https://finance.naver.com/item/dart.nhn?code=000120,NaN
82,F&F,https://finance.naver.com/item/main.nhn?code=383220,"525,000","40,222","58,445",코스피,https://finance.naver.com/item/board.nhn?code=383220,https://finance.naver.com/item/coinfo.nhn?code=383220,https://finance.naver.com/item/short_trade.nhn?code=383220,https://finance.naver.com/item/sise.nhn?code=383220,https://finance.naver.com/item/main.nhn?code=383220,https://finance.naver.com/item/frgn.nhn?code=383220,https://finance.naver.com/item/news.nhn?code=383220,https://finance.naver.com/item/fchart.nhn?code=383220,https://finance.naver.com/item/dart.nhn?code=383220,NaN
83,한미약품,https://finance.naver.com/item/main.nhn?code=128940,"324,500","39,194","37,295",코스피,https://finance.naver.com/item/board.nhn?code=128940,https://finance.naver.com/item/coinfo.nhn?code=128940,https://finance.naver.com/item/short_trade.nhn?code=128940,https://finance.naver.com/item/sise.nhn?code=128940,https://finance.naver.com/item/main.nhn?code=128940,https://finance.naver.com/item/frgn.nhn?code=128940,https://finance.naver.com/item/news.nhn?code=128940,https://finance.naver.com/item/fchart.nhn?code=128940,https://finance.naver.com/item/dart.nhn?code=128940,NaN
