순위,주식명,href,현재가,시가총액,거래량,PER,미래 PER,동일업종PER,시가배당률,PRB,당기순이익2017,당기순이익2018,당기순이익2019,당기순이익2020,부채비율2017,부채비율2018,부채비율2019,부채비율2020,당좌비율2017,당좌비율2018,당좌비율2019,당좌비율2020,유보율2017,유보율2018,유보율2019,유보율2020,sosok
221,미원상사,https://finance.naver.com/item/main.nhn?code=002840,"212,500","10,561","2,744",11.72,nan,23.11,0.58,2.26,242.0,311.0,518.0,nan,24.21,25.0,22.94,nan,188.46,166.13,211.6,nan,2326.05,3246.25,3868.2,nan,코스피
222,파미셀,https://finance.naver.com/item/main.nhn?code=005690,"17,600","10,553","2,591,084",197.89,nan,23.11,-,18.16,-127,43,52,nan,24.48,22.80,22.13,nan,817.54,478.13,562.44,nan,58.55,72.23,90.86,nan,코스피
223,풍산,https://finance.naver.com/item/main.nhn?code=103140,"37,550","10,523","261,220",10.89,6.73,15.52,2.15,0.54,621.0,176.0,719.0,1554.0,93.44,85.18,76.44,nan,58.21,59.63,68.44,nan,882.96,875.74,931.3,nan,코스피
224,SK가스,https://finance.naver.com/item/main.nhn?code=018670,"114,000","10,522","16,418",3.64,7.12,15.95,3.83,0.49,554.0,1541.0,2654.0,1490.0,128.61,145.81,136.94,nan,83.88,76.16,82.74,nan,3122.17,3606.85,4087.44,nan,코스피
225,효성화학,https://finance.naver.com/item/main.nhn?code=298000,"329,000","10,496","24,150",-42.98,6.18,23.11,-,1.24,204.0,878.0,-116,1709.0,350.17,353.81,500.81,nan,45.63,73.85,46.63,nan,2177.03,2677.9,2486.25,nan,코스피
226,SNT모티브,https://finance.naver.com/item/main.nhn?code=064960,"71,700","10,485","177,410",13.27,11.84,28.93,3.24,0.89,572.0,37.0,544.0,891.0,45.07,41.16,43.67,nan,178.19,205.61,190.22,nan,921.31,914.34,951.59,nan,코스피
227,현대그린푸드,https://finance.naver.com/item/main.nhn?code=005440,"10,700","10,454","465,607",12.03,11.54,13.42,2.4,0.43,1272.0,639.0,816.0,1097.0,34.4,40.17,40.1,nan,114.57,100.98,92.08,nan,3231.48,3276.46,3381.21,nan,코스피
228,GKL,https://finance.naver.com/item/main.nhn?code=114090,"16,750","10,361","601,851",-16.06,-11.26,-18.22,-,2.12,777.0,724.0,-643,-943.0,36.23,55.41,45.65,nan,89.64,74.75,94.38,nan,1717.41,1792.06,1472.66,nan,코스피
229,한화투자증권,https://finance.naver.com/item/main.nhn?code=003530,"4,810","10,320","1,846,225",7.17,nan,4.58,-,0.38,724,986,671,nan,672.81,754.98,847.07,nan,nan,nan,nan,nan,8.27,6.17,15.00,nan,코스피
230,한섬,https://finance.naver.com/item/main.nhn?code=020000,"41,600","10,246","59,427",8.76,9.85,18.09,1.49,0.59,724.0,853.0,849.0,1046.0,28.46,26.6,27.75,nan,107.87,111.09,72.19,nan,8082.91,8696.65,9309.65,nan,코스피
231,케이씨씨글라스,https://finance.naver.com/item/main.nhn?code=344820,"62,800","10,029","90,258",2.49,8.48,11.87,5.71,0.45,nan,nan,1323.0,1160.0,nan,nan,30.15,nan,nan,nan,135.56,nan,nan,nan,8171.23,nan,코스피
232,SK디스커버리,https://finance.naver.com/item/main.nhn?code=006120,"52,400","9,976","37,122",5.02,nan,285.60,1.52,0.69,977.0,2502.0,3555.0,nan,107.27,115.22,114.86,nan,74.37,70.77,78.58,nan,2118.77,2400.51,2638.2,nan,코스피
233,화승엔터프라이즈,https://finance.naver.com/item/main.nhn?code=241590,"16,450","9,961","303,925",21.44,16.95,18.09,0.32,1.66,171.0,652.0,415.0,612.0,168.59,166.38,114.89,nan,49.27,51.16,72.49,nan,854.29,1047.19,1174.04,nan,코스피
237,경동나비엔,https://finance.naver.com/item/main.nhn?code=009450,"70,900","9,646","102,738",16.12,11.49,13.42,0.67,2.02,247.0,279.0,416.0,850.0,108.35,102.56,111.02,nan,49.54,50.35,51.31,nan,2089.13,2255.62,2713.1,nan,코스피
238,제주항공,https://finance.naver.com/item/main.nhn?code=089590,"25,000","9,625","271,681",-1.93,-4.08,-31.99,-,3.25,709.0,-331,-3065,-2322,169.76,351.38,438.98,nan,90.3,46.01,44.84,nan,191.6,148.40,-9.81,nan,코스피
239,대신증권,https://finance.naver.com/item/main.nhn?code=003540,"18,950","9,622","105,001",7.61,5.23,4.58,9.23,0.42,1407.0,940.0,1470.0,3110.0,857.14,863.65,935.15,nan,nan,nan,nan,nan,400.48,415.0,434.22,nan,코스피
240,대상,https://finance.naver.com/item/main.nhn?code=001680,"27,550","9,546","154,420",7.5,7.53,15.88,2.69,0.87,654.0,1089.0,1270.0,1342.0,136.78,135.49,129.53,nan,66.83,69.59,107.38,nan,2626.23,2825.09,3116.44,nan,코스피
241,동원산업,https://finance.naver.com/item/main.nhn?code=006040,"259,500","9,543","5,424",3.4,6.66,15.88,2.25,0.61,710.0,514.0,2436.0,1500.0,166.25,176.88,139.82,nan,60.07,56.5,53.39,nan,5695.52,5781.6,7050.2,nan,코스피
242,아모레퍼시픽우,https://finance.naver.com/item/main.nhn?code=090435,"90,300","9,534","105,036",404.68,45.61,68.18,1.3,3.16,3348.0,2238.0,219.0,3754.0,20.8,33.12,27.72,nan,148.57,113.73,128.87,nan,12885.28,13322.35,13246.89,nan,코스피
243,후성,https://finance.naver.com/item/main.nhn?code=093370,"10,250","9,492","590,798",182.36,37.97,23.11,-,5.02,281,2.0,-13,192.0,79.83,117.71,122.29,nan,117.53,96.81,70.80,nan,339.43,352.51,363.38,nan,코스피
244,휴켐스,https://finance.naver.com/item/main.nhn?code=069260,"23,100","9,443","633,513",21.15,10.46,23.11,3.9,1.47,1051.0,703.0,498.0,892.0,29.83,36.06,26.11,nan,495.31,237.11,447.87,nan,1580.28,1634.85,1672.15,nan,코스피
245,유안타증권,https://finance.naver.com/item/main.nhn?code=003470,"4,705","9,391","708,872",6.18,nan,4.58,4.09,0.45,1047,809,1050.0,nan,897.18,876.60,977.74,nan,nan,nan,nan,nan,17.26,24.25,35.84,nan,코스피
247,진에어,https://finance.naver.com/item/main.nhn?code=272450,"20,800","9,360","544,900",-2.49,-5.40,-31.99,-,6.09,445.0,-567,-1904,-1779,95.17,267.37,467.20,nan,114.92,114.77,85.34,nan,787.65,562.81,141.40,nan,코스피
249,한세실업,https://finance.naver.com/item/main.nhn?code=105630,"23,150","9,260","227,573",15.59,10.81,18.09,2.86,1.63,-498.0,-173.0,357.0,841.0,137.63,159.22,142.33,nan,46.74,46.43,60.69,nan,2095.4,2027.16,2142.69,nan,코스피
250,삼양홀딩스,https://finance.naver.com/item/main.nhn?code=000070,"107,500","9,207","28,201",6.46,nan,15.88,3.02,0.38,1025.0,620.0,1433.0,nan,65.53,76.87,80.61,nan,109.45,180.53,161.81,nan,3047.14,3077.36,3264.48,nan,코스피
251,LIG넥스원,https://finance.naver.com/item/main.nhn?code=079550,"41,900","9,218","149,175",11.59,13.24,31.08,2.95,0.98,45.0,32.0,579.0,696.0,257.17,265.55,285.96,nan,71.0,65.69,64.58,nan,425.16,410.37,453.39,nan,코스피
252,미원에스씨,https://finance.naver.com/item/main.nhn?code=268280,"178,500","9,104","1,037",15.54,nan,23.11,1.63,2.02,360.0,396.0,347.0,nan,25.56,25.09,25.28,nan,267.11,317.67,349.16,nan,8340.39,9530.42,10034.09,nan,코스피
253,동양생명,https://finance.naver.com/item/main.nhn?code=082640,"5,620","9,068","201,736",4.42,5.8,7.24,6.25,0.18,522.0,1152.0,1286.0,1549.0,1292.15,1205.08,1072.29,nan,nan,nan,nan,nan,191.75,229.95,290.84,nan,코스피
254,쿠쿠홀딩스,https://finance.naver.com/item/main.nhn?code=192400,"127,500","9,068","8,681",6.66,nan,13.42,3.3,0.82,846.0,794.0,1067.0,nan,22.57,20.62,21.57,nan,205.5,194.06,220.01,nan,36135.32,37819.94,40233.55,nan,코스피
255,넥센타이어,https://finance.naver.com/item/main.nhn?code=002350,"9,270","9,054","1,886,245",-38.37,12.15,28.93,1.7,0.41,1035.0,1185.0,-166.0,745.0,127.02,120.56,128.91,nan,107.08,113.71,111.35,nan,2512.29,2732.18,2714.44,nan,코스피
256,우리종금,https://finance.naver.com/item/main.nhn?code=010050,"1,025","8,961","11,197,837",6.1,nan,8.22,1.86,0.89,334,534,629.0,nan,750.98,825.30,719.18,nan,nan,nan,nan,nan,-6.42,9.03,21.05,nan,코스피
257,롯데제과,https://finance.naver.com/item/main.nhn?code=280360,"139,500","8,951","6,103",15.97,12.2,15.88,1.57,0.55,84.0,416.0,417.0,741.0,102.13,108.81,106.5,nan,103.92,104.32,115.22,nan,37027.92,37856.29,38902.76,nan,코스피
259,롯데하이마트,https://finance.naver.com/item/main.nhn?code=071840,"37,350","8,817","101,792",25.6,8.06,-62.77,3.85,0.38,855.0,-999.0,287.0,1104.0,51.18,61.69,73.9,nan,73.62,26.9,55.52,nan,1646.93,1528.36,1531.79,nan,코스피
261,SBS,https://finance.naver.com/item/main.nhn?code=034120,"47,400","8,652","189,014",-6.39,8.53,-20.25,-,0.81,58,209.0,-619,1084.0,68.46,92.82,106.43,nan,158.98,144.32,191.09,nan,531.09,545.85,469.82,nan,코스피
262,이연제약,https://finance.naver.com/item/main.nhn?code=102460,"47,850","8,612","1,726,818",99.29,nan,105.77,0.89,1.7,13.0,49.0,38.0,nan,34.51,23.58,38.04,nan,478.1,321.79,182.48,nan,2647.13,2585.99,2579.31,nan,코스피
265,동원F&B,https://finance.naver.com/item/main.nhn?code=049770,"222,000","8,567","6,646",8.86,9.75,15.88,1.96,0.92,567.0,657.0,779.0,893.0,121.92,130.99,125.44,nan,82.44,62.52,73.5,nan,3298.77,3580.92,3924.8,nan,코스피
266,유나이티드제약,https://finance.naver.com/item/main.nhn?code=033270,"52,400","8,512","314,186",40.51,nan,105.77,0.53,3.56,317.0,309.0,266.0,nan,32.16,29.85,27.64,nan,188.07,211.93,225.63,nan,2988.39,3312.62,3581.88,nan,코스피
267,LG하우시스,https://finance.naver.com/item/main.nhn?code=108670,"93,400","8,376","44,799",-10.11,11.24,11.87,0.38,0.93,-531.0,116.0,-795.0,817.0,173.76,180.09,184.92,nan,105.94,74.72,82.52,nan,1787.72,1800.1,1645.22,nan,코스피
269,대한해운,https://finance.naver.com/item/main.nhn?code=005880,"3,395","8,293","1,821,168",84.53,14.91,41.57,nan,0.93,783,1010,275,1204,276.27,273.20,292.07,nan,55.27,46.22,62.79,nan,301.55,357.52,365.06,nan,코스피
270,대덕전자,https://finance.naver.com/item/main.nhn?code=353200,"16,600","8,203","1,422,923",-49.71,26.84,32.31,2.38,1.02,nan,nan,-87.0,309.0,nan,nan,26.87,nan,nan,nan,108.59,nan,nan,nan,2388.5,nan,코스피
271,코스모신소재,https://finance.naver.com/item/main.nhn?code=005070,"27,350","8,160","593,627",48.97,44.25,23.11,nan,3.25,104,-18,117,185,168.84,75.26,104.93,nan,37.23,99.68,82.64,nan,291.25,379.03,413.49,nan,코스피
272,제이콘텐트리,https://finance.naver.com/item/main.nhn?code=036420,"49,600","8,127","117,025",-4.51,-359.05,-20.25,nan,3.17,256,106,-1540,42,95.09,176.20,459.11,nan,114.06,60.95,45.60,nan,352.32,330.26,125.06,nan,코스피
273,동아쏘시오홀딩스,https://finance.naver.com/item/main.nhn?code=000640,"125,500","7,942","12,047",4.63,10.88,105.77,0.82,0.83,-1639.0,200.0,1624.0,716.0,68.8,81.89,70.03,nan,65.48,47.7,60.59,nan,2757.08,2778.6,3275.11,nan,코스피
274,DL건설,https://finance.naver.com/item/main.nhn?code=001880,"35,700","7,873","35,602",3.94,4.63,8.77,1.8,0.89,645.0,951.0,1493.0,1798.0,116.55,86.03,86.87,nan,223.93,197.61,194.89,nan,384.68,503.53,588.16,nan,코스피
275,HDC,https://finance.naver.com/item/main.nhn?code=012630,"12,700","7,587","450,264",6.37,nan,8.77,2.26,0.27,9313.0,2751.0,1913.0,nan,61.9,79.01,121.33,nan,100.58,89.21,147.0,nan,1266.43,1348.89,1382.5,nan,코스피
276,미래에셋생명,https://finance.naver.com/item/main.nhn?code=085620,"4,280","7,576","130,138",9.56,nan,7.24,2.6,0.26,1066.0,1095.0,798.0,952.0,1577.53,1527.03,1678.01,nan,nan,nan,nan,nan,112.33,139.73,136.39,nan,코스피
278,풀무원,https://finance.naver.com/item/main.nhn?code=017810,"19,850","7,567","166,823",42.84,19.6,15.88,0.62,1.52,110.0,-75.0,118.0,408.0,173.05,220.57,230.17,nan,58.59,56.48,47.39,nan,1507.77,1438.84,1513.14,nan,코스피
279,SGC에너지,https://finance.naver.com/item/main.nhn?code=005090,"51,000","7,485","66,201",9.68,12.51,49.74,3.82,1.01,-115.0,4.0,262.0,840.0,139.16,122.61,299.01,nan,19.89,18.87,45.32,nan,1063.23,1054.03,700.0,nan,코스피
280,드림텍,https://finance.naver.com/item/main.nhn?code=192650,"11,400","7,443","621,299",34.41,7.39,-196.17,0.85,2.87,371,234.0,107.0,nan,99.58,70.55,99.92,nan,81.92,76.64,57.93,nan,5682.12,3637.55,4079.12,nan,코스피
281,애경산업,https://finance.naver.com/item/main.nhn?code=018250,"28,050","7,408","131,445",56.46,34.81,68.18,0.82,1.93,608.0,416.0,115.0,212.0,32.7,33.4,30.45,nan,220.35,204.29,191.48,nan,1076.51,1181.93,1183.47,nan,코스피
283,SPC삼립,https://finance.naver.com/item/main.nhn?code=005610,"85,600","7,386","15,857",-49.88,17.42,15.88,1.53,1.93,422.0,202.0,-124.0,434.0,139.61,270.67,290.06,nan,50.92,54.24,46.9,nan,715.1,735.34,689.26,nan,코스피
284,락앤락,https://finance.naver.com/item/main.nhn?code=115390,"13,800","7,315","45,096",46.77,nan,14.96,-,0.81,304.0,164,118,nan,11.93,16.95,17.71,nan,400.31,374.45,391.91,nan,2512.63,2549.78,2508.55,nan,코스피
286,동아에스티,https://finance.naver.com/item/main.nhn?code=170900,"86,500","7,304","36,022",27.6,22.53,105.77,1.13,1.16,80.0,709.0,271.0,322.0,63.74,56.19,52.73,nan,119.69,156.16,167.41,nan,921.44,1065.43,1089.26,nan,코스피
287,현대일렉트릭,https://finance.naver.com/item/main.nhn?code=267260,"20,050","7,227","311,342",-14.69,11.04,34.15,-,0.87,-1789,-2643,-402,667.0,173.24,222.25,234.62,nan,94.90,63.86,73.91,nan,688.55,262.89,244.25,nan,코스피
288,NICE,https://finance.naver.com/item/main.nhn?code=034310,"18,950","7,179","30,503",43.58,nan,23.10,1.39,1.04,993.0,777.0,529.0,nan,108.94,109.61,118.5,nan,109.28,96.36,103.44,nan,3316.55,3525.26,3645.52,nan,코스피
289,일양약품,https://finance.naver.com/item/main.nhn?code=007570,"37,600","7,176","472,868",118.12,nan,105.77,0.18,5.92,33,196.0,215.0,nan,105.95,96.4,79.29,nan,59.85,64.67,62.87,nan,184.36,203.66,225.71,nan,코스피
290,덴티움,https://finance.naver.com/item/main.nhn?code=145720,"64,600","7,150","60,190",20.18,17.32,50.43,0.49,1.55,343.0,137,222.0,412.0,124.32,164.90,123.2,nan,86.15,89.10,71.61,nan,3378.88,3579.39,3949.55,nan,코스피
291,유니드,https://finance.naver.com/item/main.nhn?code=014830,"79,900","7,103","30,895",5.58,6.38,23.11,2.9,0.54,360.0,675.0,768.0,1089.0,69.64,51.84,43.33,nan,95.09,108.81,128.96,nan,1468.23,1604.05,1748.53,nan,코스피
292,한진중공업,https://finance.naver.com/item/main.nhn?code=097230,"8,470","7,053","108,536",7.78,nan,8.77,-,1.90,-12836,3062,783,nan,-486.00,908.28,585.57,nan,29.64,37.62,65.65,nan,-252.11,-55.68,-37.54,nan,코스피
293,서울가스,https://finance.naver.com/item/main.nhn?code=017390,"140,500","7,025","6,752",3.45,nan,15.95,18.51,0.34,418.0,295.0,1312.0,nan,44.45,63.61,63.34,nan,185.16,95.16,80.43,nan,2736.72,2795.66,2989.72,nan,코스피
294,우리금융캐피탈,https://finance.naver.com/item/main.nhn?code=033660,"12,100","6,963","42,991",11.9,nan,8.22,2.62,0.82,910.0,1016.0,590.0,1160.0,724.26,818.09,974.71,nan,nan,nan,nan,nan,162.17,187.01,194.65,nan,코스피
295,효성중공업,https://finance.naver.com/item/main.nhn?code=298040,"74,400","6,937","81,849",-26.11,10.99,34.15,-,0.66,19,160,-193,682,279.40,303.92,282.49,nan,58.01,60.10,52.80,nan,1906.48,1910.73,1872.05,nan,코스피
296,삼성SDI우,https://finance.naver.com/item/main.nhn?code=006405,"424,500","6,868","5,066",76.91,46.66,73.37,0.34,3.24,7450.0,4024.0,6310.0,11109.0,58.28,56.81,61.2,nan,92.63,91.58,76.87,nan,3266.07,3338.5,3481.82,nan,코스피
297,삼양식품,https://finance.naver.com/item/main.nhn?code=003230,"91,100","6,863","37,450",11.32,11.75,15.88,0.79,2.22,353.0,600.0,680.0,599.0,75.81,63.52,60.17,nan,76.59,105.03,101.21,nan,504.19,645.92,803.56,nan,코스피
298,한일현대시멘트,https://finance.naver.com/item/main.nhn?code=006390,"38,550","6,852","77,763",7.96,14.66,11.87,3.7,1.95,-294.0,413.0,628.0,470.0,211.18,173.79,120.0,nan,85.95,67.01,73.34,nan,110.41,145.69,202.75,nan,코스피
299,SK디앤디,https://finance.naver.com/item/main.nhn?code=210980,"35,700","6,779","24,185",14.52,16.35,13.69,1.39,1.99,524.0,449.0,661.0,518.0,328.42,286.51,222.2,nan,43.29,58.51,36.42,nan,1701.81,1766.65,2086.72,nan,코스피
300,부산가스,https://finance.naver.com/item/main.nhn?code=015350,"61,200","6,732","7,282",3.13,nan,15.95,1.96,0.59,492.0,489.0,1794.0,nan,56.89,54.8,46.26,nan,141.75,146.69,154.85,nan,1071.55,1151.31,1459.2,nan,코스피
301,해성디에스,https://finance.naver.com/item/main.nhn?code=195870,"39,300","6,681","884,889",13.83,16.76,16.88,1.84,1.79,207.0,182.0,300.0,399.0,55.96,56.61,65.29,nan,104.92,88.45,89.53,nan,130.98,145.34,172.75,nan,코스피
302,미래에셋증권2우B,https://finance.naver.com/item/main.nhn?code=00680K,"4,735","6,629","148,028",9.25,8.25,4.58,4.39,0.66,4620.0,6642.0,8343.0,8992.0,1313.8,1348.28,1301.06,nan,nan,nan,nan,nan,105.13,125.63,136.77,nan,코스피
303,영원무역홀딩스,https://finance.naver.com/item/main.nhn?code=009970,"48,200","6,572","15,147",4.91,nan,18.09,3.18,0.32,1521.0,2277.0,2345.0,nan,49.63,47.12,42.62,nan,207.81,184.99,244.08,nan,14347.95,15979.95,18667.24,nan,코스피
305,한진,https://finance.naver.com/item/main.nhn?code=002320,"43,700","6,532","95,939",83.21,3.21,13.66,1.26,0.65,456.0,-29.0,91.0,2134.0,149.4,236.69,206.05,nan,54.62,78.08,56.77,nan,1119.59,1107.01,1016.83,nan,코스피
306,SK렌터카,https://finance.naver.com/item/main.nhn?code=068400,"13,700","6,478","196,362",19.28,20.81,25.07,-,0.89,33,163,182,307,375.06,377.22,380.97,nan,14.90,31.99,27.02,nan,2407.62,2444.97,2319.48,nan,코스피
307,삼양사,https://finance.naver.com/item/main.nhn?code=145990,"62,700","6,467","30,355",11.19,nan,15.88,2.07,0.52,597.0,529.0,770.0,nan,71.72,84.49,90.43,nan,75.26,133.72,135.14,nan,2032.28,2066.81,2154.2,nan,코스피
308,BGF,https://finance.naver.com/item/main.nhn?code=027410,"6,680","6,394","230,167",17.2,16.37,"-1,601.84",2.25,0.31,472.0,175.0,179.0,325.0,7.2,8.45,7.88,nan,540.9,497.0,423.53,nan,1476.53,1495.87,1512.94,nan,코스피
309,LG헬로비전,https://finance.naver.com/item/main.nhn?code=037560,"8,190","6,343","7,161,526",-0.96,21.49,-20.25,1.93,0.48,391.0,-942.0,-3128.0,295.0,84.0,88.23,133.36,nan,85.76,46.64,73.77,nan,443.7,391.34,225.96,nan,코스피
310,제일약품,https://finance.naver.com/item/main.nhn?code=271980,"43,000","6,323","163,560",133.1,nan,105.77,0.11,5.3,19.0,-102.0,70.0,nan,117.86,137.12,137.51,nan,92.21,84.33,75.17,nan,2285.49,2012.06,2066.77,nan,코스피
311,삼화콘덴서,https://finance.naver.com/item/main.nhn?code=001820,"60,600","6,299","89,212",29.38,16.88,73.37,0.46,3.89,619.0,298.0,235.0,369.0,72.76,39.6,34.4,nan,128.56,144.96,196.13,nan,1061.41,1312.71,1504.55,nan,코스피
312,서흥,https://finance.naver.com/item/main.nhn?code=008490,"54,300","6,282","51,081",11.13,10.48,13.71,0.88,1.68,294.0,374.0,593.0,687.0,107.38,115.46,103.19,nan,50.44,62.95,48.26,nan,4785.2,5241.73,6023.6,nan,코스피
313,롯데정보통신,https://finance.naver.com/item/main.nhn?code=286940,"40,550","6,243","30,772",20.69,14.41,21.84,1.74,1.47,234.0,530.0,299.0,448.0,92.06,78.45,57.13,nan,119.02,117.15,72.3,nan,423.97,493.55,523.66,nan,코스피
314,빙그레,https://finance.naver.com/item/main.nhn?code=005180,"63,100","6,216","57,183",16.13,15.33,15.88,2.8,0.86,342.0,411.0,349.0,410.0,19.97,19.92,29.62,nan,362.64,382.67,213.77,nan,1043.83,1096.86,1138.37,nan,코스피
315,코오롱글로벌,https://finance.naver.com/item/main.nhn?code=003070,"24,350","6,139","58,531",5.96,4.91,8.77,2.07,1.04,145.0,336.0,805.0,1264.0,355.18,384.68,407.89,nan,64.1,63.6,60.91,nan,245.57,263.72,282.45,nan,코스피
316,JW중외제약,https://finance.naver.com/item/main.nhn?code=001060,"28,450","6,128","40,513",-52.6,nan,105.77,0.9,3.82,81.0,-253.0,-153.0,nan,128.28,149.12,164.66,nan,116.37,83.05,80.1,nan,411.41,344.1,292.9,nan,코스피
317,LF,https://finance.naver.com/item/main.nhn?code=093050,"20,950","6,126","653,010",24.83,9.86,18.09,3.4,0.34,813.0,694.0,286.0,730.0,39.58,73.7,75.3,nan,200.88,77.35,99.63,nan,717.69,751.83,754.06,nan,코스피
318,롯데손해보험,https://finance.naver.com/item/main.nhn?code=000400,"1,960","6,083","789,775",-22.43,nan,7.00,-,0.57,913,-512,-242,nan,2423.35,1584.25,1627.15,nan,nan,nan,nan,nan,320.37,211.59,205.37,nan,코스피
320,일진다이아,https://finance.naver.com/item/main.nhn?code=081000,"42,450","6,029","58,809",130.57,nan,15.52,0.63,3.74,77.0,132.0,73.0,nan,54.86,35.01,31.37,nan,140.75,302.03,302.46,nan,981.58,1309.81,1322.71,nan,코스피
321,신영증권,https://finance.naver.com/item/main.nhn?code=001720,"64,200","6,026","3,089",4.95,nan,6.54,7.01,0.35,780.0,203.0,1961.0,nan,749.26,723.87,600.96,nan,nan,nan,nan,nan,1483.99,1502.07,1803.63,nan,코스피
322,잇츠한불,https://finance.naver.com/item/main.nhn?code=226320,"27,300","5,987","81,804",-40.19,nan,68.18,0.38,1.16,186.0,74.0,-35.0,nan,12.81,13.39,8.5,nan,667.96,614.79,847.47,nan,3873.89,3669.89,3518.88,nan,코스피
323,삼성제약,https://finance.naver.com/item/main.nhn?code=001360,"8,910","5,984","16,085,110",-9.27,nan,105.77,nan,3.05,-21,69,-399,nan,22.01,18.00,46.60,nan,170.48,217.35,81.99,nan,271.06,295.89,182.20,nan,코스피
325,디피씨,https://finance.naver.com/item/main.nhn?code=026890,"14,150","5,897","553,130",18.97,nan,73.37,1.01,1.88,116.0,111.0,200.0,nan,31.19,41.14,38.24,nan,247.25,191.76,204.77,nan,659.67,697.95,807.55,nan,코스피
326,신성이엔지,https://finance.naver.com/item/main.nhn?code=011930,"2,900","5,889","1,625,352",-46.01,nan,16.88,nan,3.40,107,21,-137,nan,262.14,240.99,121.16,nan,41.58,41.38,65.80,nan,107.77,110.26,105.44,nan,코스피
327,한국자산신탁,https://finance.naver.com/item/main.nhn?code=123890,"4,740","5,877","208,927",3.76,5.06,13.69,5.58,0.63,1034.0,888.0,1300.0,1163.0,69.96,87.18,57.07,nan,nan,nan,nan,nan,1079.1,1093.93,1160.65,nan,코스피
328,한국토지신탁,https://finance.naver.com/item/main.nhn?code=034830,"2,320","5,858","628,905",6.01,5.67,13.69,4.46,0.5,1670.0,1083.0,851.0,1033.0,66.86,64.18,67.34,nan,nan,nan,nan,nan,233.59,260.18,283.93,nan,코스피
329,대성홀딩스,https://finance.naver.com/item/main.nhn?code=016710,"36,400","5,857","80,475",9.34,nan,15.95,1.01,0.87,238.0,179.0,477.0,nan,109.78,110.41,103.06,nan,111.7,92.53,87.97,nan,2635.72,2673.64,2921.95,nan,코스피
330,고려제강,https://finance.naver.com/item/main.nhn?code=002240,"25,400","5,842","60,661",40.15,nan,22.43,1.77,0.25,19.0,-42.0,27.0,nan,63.85,59.54,53.51,nan,88.95,91.27,100.74,nan,7026.93,6753.45,6768.34,nan,코스피
331,케이씨텍,https://finance.naver.com/item/main.nhn?code=281820,"27,850","5,810","62,284",14.42,10.27,16.88,0.72,1.84,544.0,369.0,426.0,571.0,22.01,17.01,17.1,nan,303.4,342.28,338.53,nan,2491.6,2809.27,3235.45,nan,코스피
332,KG케미칼,https://finance.naver.com/item/main.nhn?code=001390,"41,500","5,754","938,125",7.19,nan,49.74,1.68,0.81,278.0,2193.0,1547.0,nan,149.7,207.16,186.77,nan,81.57,63.18,65.06,nan,344.07,470.48,528.02,nan,코스피
333,대한제강,https://finance.naver.com/item/main.nhn?code=084010,"23,300","5,743","473,726",5.26,5.49,22.43,2.88,0.45,-178.0,296.0,531.0,1192.0,51.09,37.47,72.3,nan,118.66,115.72,71.67,nan,1767.59,1872.42,2047.31,nan,코스피
334,교보증권,https://finance.naver.com/item/main.nhn?code=030610,"8,780","5,677","87,326",3.74,nan,4.58,5.89,0.38,773.0,835.0,1039.0,nan,732.87,724.62,700.36,nan,nan,nan,nan,nan,392.98,437.14,292.64,nan,코스피
335,율촌화학,https://finance.naver.com/item/main.nhn?code=008730,"22,450","5,568","46,017",25.26,nan,14.96,2.43,1.47,147.0,182.0,202.0,nan,82.69,77.34,76.43,nan,76.34,114.06,102.85,nan,2173.88,2213.86,2253.95,nan,코스피
336,한국콜마홀딩스,https://finance.naver.com/item/main.nhn?code=024720,"29,650","5,508","57,973",4.49,nan,68.18,0.79,0.87,902.0,711.0,1551.0,nan,77.97,81.8,54.71,nan,71.26,60.5,84.96,nan,4191.73,4790.73,6240.25,nan,코스피
337,넥스트사이언스,https://finance.naver.com/item/main.nhn?code=003580,"13,700","5,507","2,323,518",-5.83,nan,15.88,nan,2.68,-119,-229,-301,nan,121.12,59.62,77.63,nan,135.88,170.48,107.73,nan,509.91,435.34,343.81,nan,코스피
339,한화손해보험,https://finance.naver.com/item/main.nhn?code=000370,"4,630","5,405","386,245",7.31,nan,7.00,-,0.27,818.0,-691,483,1392.0,1082.14,1146.81,1043.66,nan,nan,nan,nan,nan,142.52,150.87,192.39,nan,코스피
340,종근당홀딩스,https://finance.naver.com/item/main.nhn?code=001630,"107,500","5,386","12,344",8.12,4.12,105.77,1.1,1.18,528.0,793.0,1136.0,1793.0,29.91,45.22,49.76,nan,118.57,70.7,64.46,nan,3313.49,3640.1,4231.03,nan,코스피
343,롯데푸드,https://finance.naver.com/item/main.nhn?code=002270,"465,000","5,263","2,694",5.34,13.34,15.88,3.62,0.4,425.0,376.0,702.0,405.0,77.05,86.67,69.02,nan,139.56,51.4,112.71,nan,17169.97,17374.13,18403.78,nan,코스피
344,DI동일,https://finance.naver.com/item/main.nhn?code=001530,"208,000","5,222","31,241",18.73,15.91,18.09,1.01,0.54,138.0,137.0,240.0,345.0,84.86,79.32,70.82,nan,47.43,49.62,64.93,nan,4269.26,4169.29,4228.12,nan,코스피
345,삼성화재우,https://finance.naver.com/item/main.nhn?code=000815,"163,500","5,219","5,416",12.56,10.63,7.00,6.16,0.49,10707.0,6456.0,7573.0,10114.0,542.03,494.72,468.68,nan,nan,nan,nan,nan,52212.98,59601.17,67008.97,nan,코스피
