순위,주식명,href,현재가,시가총액,거래량,PER,미래 PER,동일업종PER,시가배당률,PRB,당기순이익2017,당기순이익2018,당기순이익2019,당기순이익2020,부채비율2017,부채비율2018,부채비율2019,부채비율2020,당좌비율2017,당좌비율2018,당좌비율2019,당좌비율2020,유보율2017,유보율2018,유보율2019,유보율2020,sosok
54,CJ제일제당,https://finance.naver.com/item/main.nhn?code=097950,"448,000","67,443","28,018",9.1,11.98,15.88,1.05,1.16,9254.0,1910.0,7864.0,7712.0,166.78,177.18,151.93,nan,58.54,64.49,76.4,nan,6233.74,6220.8,6940.18,nan,코스피
55,금호석유,https://finance.naver.com/item/main.nhn?code=011780,"213,000","64,896","170,734",8.33,4.12,23.11,2.9,1.28,5031.0,2947.0,5830.0,17279.0,96.61,72.58,59.64,nan,49.82,62.07,96.71,nan,1362.22,1518.71,1841.63,nan,코스피
56,한국타이어앤테크놀로지,https://finance.naver.com/item/main.nhn?code=161390,"52,200","64,663","330,645",13.11,11.4,28.93,1.65,0.65,5304.0,4296.0,3852.0,5982.0,44.27,41.43,43.8,nan,102.11,112.07,150.53,nan,11251.23,11812.77,12331.94,nan,코스피
57,현대건설,https://finance.naver.com/item/main.nhn?code=000720,"54,200","60,355","811,043",34.12,12.62,8.77,1.6,0.63,5353.0,5733.0,2277.0,6770.0,117.74,109.15,104.64,nan,165.8,169.04,189.4,nan,1074.89,1138.52,1134.09,nan,코스피
58,미래에셋증권,https://finance.naver.com/item/main.nhn?code=006800,"9,380","59,593","1,081,148",9.25,8.25,4.58,2.12,0.66,4620.0,6642.0,8343.0,8992.0,1313.8,1348.28,1301.06,nan,nan,nan,nan,nan,105.13,125.63,136.77,nan,코스피
59,강원랜드,https://finance.naver.com/item/main.nhn?code=035250,"27,200","58,192","920,490",-18.23,27513.87,-18.22,-,1.47,2972.0,3347.0,-2759,2.0,17.97,19.38,12.15,nan,208.38,274.17,324.65,nan,3415.78,3538.24,3098.20,nan,코스피
60,코웨이,https://finance.naver.com/item/main.nhn?code=021240,"78,000","57,564","140,458",13.25,12.23,13.42,1.65,3.54,3498.0,3322.0,4047.0,4691.0,118.71,165.04,103.29,nan,59.35,41.22,53.82,nan,2697.25,2671.88,3720.78,nan,코스피
61,SKC,https://finance.naver.com/item/main.nhn?code=011790,"151,000","57,181","409,290",95.07,33.88,23.11,1.06,1.86,1410.0,674.0,736.0,2277.0,126.17,130.13,182.3,nan,51.5,51.51,52.15,nan,780.98,794.35,898.5,nan,코스피
62,한국금융지주,https://finance.naver.com/item/main.nhn?code=071050,"102,500","57,119","170,085",5.63,5.49,4.58,3.8,0.82,5159.0,8472.0,8600.0,11520.0,1206.75,1107.36,1150.6,nan,nan,nan,nan,nan,1506.93,1550.79,1745.43,nan,코스피
63,현대중공업지주,https://finance.naver.com/item/main.nhn?code=267250,"71,000","56,085","123,580",-7.43,13.65,285.60,6.53,0.57,2840.0,1153.0,-7897.0,6102.0,121.22,116.38,139.32,nan,50.2,66.92,74.82,nan,9928.56,10260.21,9094.16,nan,코스피
64,LG이노텍,https://finance.naver.com/item/main.nhn?code=011070,"231,500","54,789","298,607",18.29,8.27,32.31,0.38,1.78,1631.0,1023.0,2361.0,6297.0,171.74,161.76,148.74,nan,100.85,99.83,84.6,nan,1724.22,1793.97,1990.24,nan,코스피
65,아모레G,https://finance.naver.com/item/main.nhn?code=002790,"65,500","54,010","722,388",507.65,32.76,68.18,0.42,1.52,3763.0,2824.0,220.0,4334.0,18.34,27.8,24.18,nan,216.25,176.81,157.91,nan,7292.1,7355.32,7107.15,nan,코스피
66,삼성엔지니어링,https://finance.naver.com/item/main.nhn?code=028050,"27,250","53,410","6,661,723",10.61,15.58,8.77,-,1.62,702,2956,2445,3259.0,347.73,248.86,200.66,nan,70.94,86.73,83.83,nan,21.87,51.89,68.06,nan,코스피
67,한미사이언스,https://finance.naver.com/item/main.nhn?code=008930,"72,300","48,661","169,102",226.62,nan,105.77,0.26,7.62,180.0,307.0,226.0,nan,40.34,41.06,40.15,nan,57.51,47.68,46.8,nan,2065.84,2064.64,2059.34,nan,코스피
68,오리온,https://finance.naver.com/item/main.nhn?code=271560,"120,000","47,443","116,802",18.32,16.03,15.88,0.6,2.68,1430.0,2205.0,2746.0,2990.0,62.78,47.06,40.47,nan,75.97,96.61,178.81,nan,3992.84,4940.01,6173.29,nan,코스피
70,두산밥캣,https://finance.naver.com/item/main.nhn?code=241560,"46,700","46,816","257,630",12.01,12.58,-496.98,-,0.73,2645.0,2721.0,2475,3737.0,72.38,68.49,70.86,nan,110.56,62.39,117.69,nan,8538.21,8815.47,9146.38,nan,코스피
71,유한양행,https://finance.naver.com/item/main.nhn?code=000100,"63,100","44,153","124,569",27.72,46.22,105.77,0.51,2.67,583.0,366.0,1904.0,948.0,31.61,28.32,29.63,nan,185.05,214.07,225.4,nan,2650.39,2547.07,2653.87,nan,코스피
